cyclomatic_complexity,cognitive_complexity,lines_of_code,comment_ratio,function_count,class_count,max_nesting_depth,avg_function_length,parameters_per_function,halstead_difficulty,halstead_effort,halstead_volume,maintainability_index,duplicate_ratio,coupling_score,import_count,has_error_handling,has_type_hints,test_coverage,has_bug
8,28,1801,0.104,9,1,7,27.8,1.5,11.81,58728.09,7361.45,68.49,0.355,15.4,13,0,0,12.7,1
22,4,577,0.03,29,5,5,25.5,4.9,81.36,188919.61,1291.52,49.2,0.24,15.1,6,0,0,86.0,1
23,33,801,0.26,9,6,6,58.8,4.5,45.62,274118.58,5969.0,43.73,0.07,14.3,16,0,1,81.3,1
49,30,1347,0.469,6,0,1,56.7,7.8,59.23,431394.74,719.79,75.78,0.218,8.7,1,1,1,17.2,1
17,22,744,0.37,2,7,7,83.2,6.4,33.7,307073.78,7953.6,44.33,0.182,3.4,30,0,1,88.5,1
28,40,97,0.359,6,1,3,6.6,1.1,83.64,305535.7,3612.02,82.79,0.11,12.5,29,0,1,57.5,1
40,37,1742,0.269,7,2,6,61.1,2.8,11.21,314248.13,9532.19,24.84,0.096,16.3,2,0,1,55.6,1
15,62,1451,0.475,12,7,0,50.0,3.4,32.86,300710.92,713.24,81.67,0.079,14.8,8,0,1,60.4,1
32,50,69,0.014,29,1,5,41.0,4.7,35.45,246723.74,7074.33,45.18,0.417,9.8,21,1,0,23.3,1
22,36,1490,0.227,1,5,3,46.9,7.8,95.0,246983.95,7043.1,99.25,0.305,15.7,1,0,0,99.3,1
43,66,396,0.369,30,5,5,73.4,3.7,23.05,67848.93,1194.38,39.6,0.376,12.4,18,1,1,56.0,1
29,73,313,0.155,1,4,1,47.1,1.9,31.46,465150.0,3530.24,30.7,0.139,14.1,20,1,1,55.7,1
31,30,515,0.011,2,4,6,41.9,4.4,64.78,425327.01,7064.48,16.19,0.279,8.4,2,1,0,73.8,1
11,41,223,0.161,16,9,8,91.7,3.8,6.74,244887.67,4481.32,83.84,0.479,4.7,20,1,0,68.8,1
4,0,395,0.152,5,2,6,83.2,5.8,44.37,228228.41,5680.58,95.45,0.146,15.0,10,0,0,67.1,1
41,62,1744,0.205,30,4,6,10.9,2.0,65.69,164242.14,6789.23,97.85,0.482,1.1,15,0,1,67.2,1
40,19,428,0.145,24,6,2,93.6,1.3,43.09,482234.22,2122.19,48.38,0.272,17.2,4,0,1,52.4,1
1,7,961,0.291,8,3,6,77.1,0.9,78.58,353180.61,3963.89,71.91,0.066,0.3,8,1,0,4.9,1
46,18,1904,0.488,28,9,7,31.2,6.1,57.03,5218.68,5733.95,97.26,0.451,11.8,7,1,0,13.5,1
33,18,147,0.144,3,6,0,40.3,1.4,25.67,438849.62,329.92,78.89,0.456,12.9,12,0,0,33.5,1
18,46,1413,0.206,9,10,0,94.8,2.2,38.46,176306.15,2663.97,18.91,0.051,8.5,26,0,1,19.3,1
26,7,87,0.484,27,0,6,95.3,2.8,75.8,213365.47,9103.38,14.52,0.263,9.8,8,1,0,6.6,1
33,77,1527,0.094,10,4,6,9.5,5.8,38.98,61717.79,4158.55,25.5,0.459,0.6,30,0,1,38.8,1
34,63,1309,0.201,17,8,7,77.6,7.3,16.95,258135.67,7217.34,21.08,0.417,1.5,9,0,1,45.2,1
33,70,1999,0.396,3,10,8,32.2,0.6,72.85,269833.47,2254.44,46.27,0.5,5.4,26,0,0,90.4,1
8,53,813,0.37,29,9,8,93.8,5.6,32.44,199904.27,4255.41,86.64,0.269,8.0,20,0,0,78.9,1
21,68,553,0.315,13,6,6,92.7,4.9,50.56,363868.17,4135.18,54.4,0.437,12.1,25,0,1,75.3,1
38,11,1658,0.254,27,1,4,78.3,6.1,22.88,478763.08,5466.74,93.78,0.063,8.1,18,1,1,45.5,1
43,38,1094,0.086,13,1,5,34.0,1.9,16.12,84005.33,5476.5,46.06,0.407,11.2,9,0,1,64.7,1
8,32,1052,0.029,8,9,4,11.4,5.3,18.72,163643.91,820.43,30.18,0.069,10.5,25,1,1,31.2,1
41,16,1655,0.211,24,9,8,71.1,4.8,32.93,333343.45,8825.38,26.07,0.191,5.8,2,1,0,73.6,1
8,44,72,0.254,30,7,0,3.5,1.6,76.41,110207.67,6799.1,63.33,0.056,12.2,1,0,0,30.2,1
41,64,1507,0.188,22,10,6,75.8,6.0,26.0,236708.76,3529.43,38.14,0.411,17.1,29,1,1,94.3,1
46,30,1691,0.305,2,8,7,93.8,1.8,59.18,437325.13,5120.78,73.68,0.086,2.8,9,1,1,54.8,1
